File_Name,True_Label,Predicted_Label,Prediction_Probability
/kaggle/input/darklight-augmented2/organized_augmented/test/MEL/ISIC_0028582.jpg,4,4,"[1.5202938e-05 4.4165230e-05 4.6774210e-05 4.3720829e-06 9.9850285e-01
 1.3287570e-03 5.0932184e-05 7.0805081e-06]"
/kaggle/input/darklight-augmented2/organized_augmented/test/MEL/ISIC_0027742.jpg,4,5,"[8.8083634e-06 1.7881928e-05 1.3560143e-06 1.5902187e-06 1.9989106e-05
 9.9989581e-01 8.1617472e-06 4.6357734e-05]"
/kaggle/input/darklight-augmented2/organized_augmented/test/MEL/ISIC_0067733.jpg,4,4,"[5.96030588e-07 8.07904570e-08 4.35829406e-06 1.56202100e-06
 9.99979615e-01 1.19387005e-05 1.86242073e-06 9.71920144e-08]"
/kaggle/input/darklight-augmented2/organized_augmented/test/MEL/ISIC_0010080.jpg,4,5,"[1.5398798e-05 1.6693270e-03 3.2562220e-05 1.5160113e-06 5.0514558e-04
 9.9775714e-01 1.2687694e-05 6.2631352e-06]"
/kaggle/input/darklight-augmented2/organized_augmented/test/MEL/ISIC_0030032.jpg,4,4,"[1.5983971e-05 1.8578210e-05 5.7391144e-06 5.4681755e-06 9.9966645e-01
 2.7184398e-04 2.7631195e-06 1.3169728e-05]"
/kaggle/input/darklight-augmented2/organized_augmented/test/MEL/ISIC_0060104.jpg,4,4,"[2.8827551e-05 1.2838382e-05 6.7854700e-05 3.6117026e-06 9.9685955e-01
 2.9946368e-03 3.1266030e-05 1.4022675e-06]"
/kaggle/input/darklight-augmented2/organized_augmented/test/MEL/ISIC_0065746.jpg,4,4,"[2.1562157e-06 1.7155689e-06 1.2267701e-05 1.1706675e-06 9.9986613e-01
 1.1438021e-04 1.2659527e-06 8.2284936e-07]"
/kaggle/input/darklight-augmented2/organized_augmented/test/MEL/ISIC_0025611.jpg,4,5,"[1.0173378e-05 1.4922506e-03 1.6137400e-03 1.9511660e-06 1.8815855e-02
 9.7784710e-01 8.2255618e-05 1.3669876e-04]"
/kaggle/input/darklight-augmented2/organized_augmented/test/MEL/ISIC_0060511.jpg,4,5,"[9.2821725e-04 6.6754501e-03 2.2717793e-02 2.7250800e-05 4.2376644e-04
 9.6874511e-01 4.8261179e-05 4.3411582e-04]"
/kaggle/input/darklight-augmented2/organized_augmented/test/MEL/ISIC_0057089.jpg,4,5,"[1.5180041e-04 7.6785232e-03 5.4040021e-04 3.0172896e-04 1.7288767e-01
 8.1724244e-01 1.0276585e-05 1.1871629e-03]"
